date,time,light,other,datetime
05-05-2024,00:55:33:996377,0.132366990138632,0.2511153546023619,2024-05-05 00:55:33.996377
05-05-2024,00:55:34:362,0.3815280620939234,0.1951187542773708,2024-05-05 00:55:34.362000
05-05-2024,00:55:34:3234,0.8182747914393916,0.3674042530771355,2024-05-05 00:55:34.323400
05-05-2024,00:55:34:6304,0.7775504172157824,0.8711991449089305,2024-05-05 00:55:34.630400
05-05-2024,00:55:34:9400,0.2276013983543942,0.0372171194996127,2024-05-05 00:55:34.940000
05-05-2024,00:55:34:9400,0.835362920683343,0.4561516452367903,2024-05-05 00:55:34.940000
05-05-2024,00:55:34:15026,0.3887545943398742,0.4787160014267977,2024-05-05 00:55:34.150260
05-05-2024,00:55:34:16483,0.3446953757611757,0.0447719197485082,2024-05-05 00:55:34.164830
05-05-2024,00:55:34:18488,0.8719892560634225,0.7606049140990324,2024-05-05 00:55:34.184880
05-05-2024,00:55:34:20073,0.9472386463809096,0.015890611301503,2024-05-05 00:55:34.200730
05-05-2024,00:55:34:22611,0.9219276597598598,0.5268485288556747,2024-05-05 00:55:34.226110
05-05-2024,00:55:34:23461,0.0075347354053227,0.9077198663422296,2024-05-05 00:55:34.234610
05-05-2024,00:55:34:24939,0.0537707760792622,0.7399292633482176,2024-05-05 00:55:34.249390
05-05-2024,00:55:34:26314,0.0942059904706061,0.6036353048153713,2024-05-05 00:55:34.263140
05-05-2024,00:55:34:27693,0.5106642410426321,0.8561328665409506,2024-05-05 00:55:34.276930
05-05-2024,00:55:34:31354,0.7132192887278053,0.6770857595071231,2024-05-05 00:55:34.313540
05-05-2024,00:55:34:33353,0.6784233395220881,0.1061290314377972,2024-05-05 00:55:34.333530
05-05-2024,00:55:34:35353,0.5026577565538548,0.5513260573057678,2024-05-05 00:55:34.353530
05-05-2024,00:55:34:37089,0.8201104540017371,0.9379604142128264,2024-05-05 00:55:34.370890
05-05-2024,00:55:34:37978,0.4146831555393686,0.995713147827642,2024-05-05 00:55:34.379780
05-05-2024,00:55:34:39262,0.1703420237341985,0.294739563947204,2024-05-05 00:55:34.392620
05-05-2024,00:55:34:40598,0.2313952344277037,0.4997665941052889,2024-05-05 00:55:34.405980
05-05-2024,00:55:34:42016,0.8164757651030309,0.3745570414748204,2024-05-05 00:55:34.420160
05-05-2024,00:55:34:43555,0.6278819785430753,0.5718998649076321,2024-05-05 00:55:34.435550
05-05-2024,00:55:34:47795,0.0456538872739953,0.9147579678077792,2024-05-05 00:55:34.477950
05-05-2024,00:55:34:50610,0.6531698028623535,0.0616120071096986,2024-05-05 00:55:34.506100
05-05-2024,00:55:34:52466,0.7495310908363372,0.216450367360115,2024-05-05 00:55:34.524660
05-05-2024,00:55:34:54850,0.223443438266934,0.5749654821203626,2024-05-05 00:55:34.548500
05-05-2024,00:55:34:57159,0.621787902221049,0.0444614564908912,2024-05-05 00:55:34.571590
05-05-2024,00:55:34:58407,0.0055860021961512,0.6161162688957812,2024-05-05 00:55:34.584070
05-05-2024,00:55:34:60887,0.0885250494582848,0.5391563465357792,2024-05-05 00:55:34.608870
05-05-2024,00:55:34:63928,0.8374078402095042,0.6865008472529388,2024-05-05 00:55:34.639280
